umaban,horse_weight,zougen,result,age,weight,jockey,male,female,gelding,distance,frame_num,condition,past1_result,past2_result,past3_result,total_game,win1,win2,win3
1,480,-8,0,5,58,0.276,1,0,0,3200,1,1,7,4,2,20,4,6,0
2,452,-6,0,4,58,0.224,1,0,0,3200,1,1,1,1,2,15,4,5,1
3,514,0,0,7,58,0.319,1,0,0,3200,2,1,5,9,7,28,5,4,3
4,456,0,0,10,58,0.277,0,0,1,3200,2,1,5,15,5,42,6,6,6
5,540,0,0,6,58,0.227,1,0,0,3200,3,1,11,6,15,34,5,6,3
6,504,2,0,5,58,0.232,1,0,0,3200,3,1,1,1,3,28,6,5,3
7,478,0,0,8,58,0.108,1,0,0,3200,4,1,5,11,8,50,5,4,3
8,488,2,1,4,58,0.236,1,0,0,3200,4,1,3,1,2,9,3,1,1
9,488,-2,0,6,58,0.381,1,0,0,3200,5,1,7,3,11,35,4,5,12
10,458,2,0,4,58,0.436,1,0,0,3200,5,1,2,9,1,11,3,4,1
11,474,4,1,6,58,0.346,1,0,0,3200,6,1,13,3,1,24,7,5,6
12,452,-2,1,5,58,0.298,1,0,0,3200,6,1,1,8,6,21,5,3,4
13,488,10,0,8,58,0.159,1,0,0,3200,7,1,8,7,6,37,5,2,3
14,474,-8,0,7,58,0.548,1,0,0,3200,7,1,4,1,4,28,9,2,2
15,484,0,0,6,58,0.531,1,0,0,3200,8,1,5,3,2,19,5,3,3
16,470,-4,0,8,56,0.263,0,1,0,3200,8,1,9,5,6,30,9,5,2
17,498,-8,0,8,58,0.227,1,0,0,3200,8,1,10,8,1,38,5,2,2
1,484,2,0,7,58,0.304,1,0,0,2000,1,1,4,7,11,29,4,6,4
2,484,-16,0,6,58,0.276,1,0,0,2000,2,1,13,16,9,27,8,3,4
3,440,0,0,5,58,0.381,0,1,0,2000,3,1,4,2,8,14,4,4,0
4,482,-2,1,4,58,0.548,1,0,0,2000,4,1,1,4,3,10,6,1,1
5,510,4,0,4,58,0.531,1,0,0,2000,4,1,3,1,1,11,5,3,1
6,494,-12,0,5,58,0.382,1,0,0,2000,5,1,2,4,5,14,5,2,1
7,512,-6,0,4,58,0.307,1,0,0,2000,5,1,2,5,3,12,4,3,1
9,476,-12,1,4,58,0.598,1,0,0,2000,6,1,1,5,1,15,7,1,4
10,496,-8,1,4,58,0.436,1,0,0,2000,7,1,3,8,9,12,4,1,3
11,474,-2,0,5,58,0.276,1,0,0,2000,7,1,1,4,7,22,5,6,0
12,468,-12,0,7,58,0.338,1,0,0,2000,8,1,6,2,3,26,6,4,2
13,472,2,0,8,58,0.226,1,0,0,2000,8,1,11,14,9,45,3,3,1
1,472,-8,1,3,53,0.548,0,1,0,2400,1,1,1,1,1,6,5,1,0
2,460,4,0,3,55,0.281,1,0,0,2400,2,1,11,1,1,16,5,3,3
3,504,-8,0,5,57,0.598,1,0,0,2400,3,1,1,6,7,16,8,1,3
4,500,18,0,6,57,0.3,1,0,0,2400,3,1,12,7,13,19,7,1,1
5,482,0,0,4,57,0.276,1,0,0,2400,4,1,13,5,2,10,3,1,1
6,482,0,0,5,57,0.315,0,0,1,2400,4,1,2,1,3,21,6,4,4
7,490,-2,0,7,57,0.338,1,0,0,2400,5,1,9,4,12,28,2,8,1
8,504,8,1,4,57,0.436,1,0,0,2400,5,1,3,3,8,13,4,1,4
9,468,-4,0,6,57,0.452,1,0,0,2400,6,1,4,2,13,26,7,6,6
10,506,6,0,5,57,0.224,1,0,0,2400,6,1,6,7,14,31,6,5,3
11,510,0,1,4,57,0.531,1,0,0,2400,7,1,10,3,1,12,5,3,1
12,480,0,0,4,57,0.433,1,0,0,2400,7,1,4,5,5,15,6,1,2
13,492,-4,0,5,57,0.134,1,0,0,2400,8,1,9,3,2,30,5,6,8
14,506,2,0,5,57,0.27,1,0,0,2400,8,1,4,6,1,31,6,3,2
1,486,0,0,7,58,0.298,1,0,0,2200,1,1,11,4,10,27,4,6,4
2,490,0,1,5,58,0.134,1,0,0,2200,1,1,2,2,7,28,5,6,7
3,508,0,0,5,58,0.548,1,0,0,2200,2,1,7,3,15,14,7,1,3
4,476,-4,1,5,58,0.276,1,0,0,2200,2,1,4,7,4,21,4,6,0
5,522,2,0,5,58,0.436,1,0,0,2200,3,1,1,9,7,16,6,3,0
6,480,6,0,7,58,0.208,1,0,0,2200,3,1,8,4,1,29,9,2,2
7,448,-4,0,6,58,0.424,1,0,0,2200,4,1,3,1,1,13,6,2,2
8,480,12,0,4,58,0.382,1,0,0,2200,4,1,7,6,1,12,3,1,3
9,482,0,0,6,58,0.267,1,0,0,2200,5,1,7,13,10,18,7,1,1
10,440,0,0,5,56,0.381,1,0,0,2200,5,1,2,8,5,13,4,4,0
11,454,4,0,8,58,0.206,1,0,0,2200,6,1,1,1,4,57,5,13,11
12,492,2,0,6,58,0.227,1,0,0,2200,6,1,10,1,1,19,5,1,2
13,446,-27,1,7,58,0.344,0,0,1,2200,7,1,6,2,3,30,10,8,5
14,468,-2,0,8,56,0.227,1,0,0,2200,7,1,7,9,5,31,9,5,2
15,494,-2,0,5,58,0.277,1,0,0,2200,8,1,6,6,1,12,4,3,1
16,494,-2,0,4,58,0.532,1,0,0,2200,8,1,9,9,1,10,4,1,2
1,470,2,0,6,56,0.204,0,1,0,2200,1,1,3,8,13,25,5,0,2
2,476,2,0,5,56,0.224,0,1,0,2200,1,1,3,2,2,22,2,9,3
3,426,0,0,5,56,0.381,0,1,0,2200,2,1,4,6,6,25,6,4,1
4,504,-4,0,6,56,0.232,0,1,0,2200,2,1,9,6,10,34,4,3,2
5,492,6,0,4,56,0.277,0,1,0,2200,3,1,2,1,1,14,5,3,2
6,432,-2,0,5,56,0.208,0,1,0,2200,3,1,7,8,4,20,5,3,1
7,490,6,1,4,56,0.531,0,1,0,2200,4,1,3,6,4,12,4,1,3
8,434,0,0,3,54,0.452,0,1,0,2200,4,1,3,1,13,7,3,2,1
9,436,4,1,5,56,0.298,0,1,0,2200,5,1,5,8,7,24,5,2,3
10,492,4,0,6,56,0.18,0,1,0,2200,5,1,1,4,4,26,5,4,4
11,478,-2,0,8,56,0.382,0,1,0,2200,6,1,8,10,7,33,9,5,2
12,462,2,1,4,56,0.518,0,1,0,2200,6,1,2,8,2,15,3,6,3
13,466,10,0,3,54,0.548,0,1,0,2200,7,1,1,3,3,5,3,0,2
14,486,-4,0,5,56,0.197,0,1,0,2200,7,1,3,5,2,20,5,5,2
15,464,4,0,5,56,0.263,0,1,0,2200,8,1,6,3,11,25,6,3,1
16,458,10,0,5,56,0.319,0,1,0,2200,8,1,2,1,1,13,5,5,2
17,514,8,0,4,56,0.276,0,1,0,2200,8,1,9,5,1,11,5,1,0
1,506,-10,1,4,58,0.531,1,0,0,1600,1,1,1,1,4,10,5,3,1
2,514,10,0,4,58,0.224,1,0,0,1600,1,1,3,2,2,13,4,4,1
3,500,-6,0,6,58,0.221,1,0,0,1600,2,1,8,5,4,21,7,2,0
4,502,-2,1,4,58,0.424,0,1,0,1600,2,1,4,2,7,10,3,4,0
5,490,8,0,4,58,0.436,1,0,0,1600,3,1,2,5,1,11,4,3,1
6,480,2,0,4,58,0.276,0,1,0,1600,3,1,10,7,6,15,3,2,1
7,550,-4,0,6,58,0,0,0,1,1600,4,1,2,2,5,21,7,3,1
8,540,-6,0,6,58,0.267,1,0,0,1600,4,1,2,2,11,16,5,5,1
9,480,8,0,7,58,0.338,1,0,0,1600,5,1,8,3,8,26,10,2,4
10,482,-6,1,4,58,0.548,1,0,0,1600,5,1,2,2,2,10,4,3,0
11,514,0,0,6,58,0.298,1,0,0,1600,6,1,3,4,1,16,4,5,2
12,524,2,0,5,58,0.208,1,0,0,1600,6,1,1,1,2,17,6,2,3
13,496,-6,0,6,58,0.227,1,0,0,1600,7,1,9,1,5,25,8,3,4
14,448,-2,0,4,56,0.382,0,1,0,1600,7,1,2,3,1,13,3,5,3
15,486,4,0,4,58,0.381,1,0,0,1600,8,1,1,3,3,13,6,1,4
16,492,0,0,6,58,0.197,1,0,0,1600,8,1,7,13,17,26,8,1,1
1,508,-6,0,7,57,0.276,1,0,0,1600,1,1,15,1,3,38,12,7,1
2,516,0,0,5,57,0.381,1,0,0,1600,1,1,1,3,4,26,8,6,5
3,510,-8,0,6,57,0.267,1,0,0,1600,2,1,10,8,12,31,7,5,5
4,516,2,0,8,57,0.382,1,0,0,1600,2,1,3,5,4,39,10,6,8
5,478,-3,0,8,57,0.182,0,0,1,1600,3,1,5,2,11,47,10,11,13
6,512,5,1,8,57,0.236,1,0,0,1600,3,1,7,1,1,31,11,3,3
7,548,-16,0,6,55,0.053,0,1,0,1600,4,1,4,1,4,18,8,4,1
8,486,4,0,7,57,0.338,1,0,0,1600,4,1,7,1,14,48,8,2,6
9,470,-6,0,7,57,0.232,1,0,0,1600,5,1,6,8,3,31,8,8,8
10,496,-2,0,6,57,0.202,1,0,0,1600,5,1,1,2,1,25,9,6,4
11,522,10,0,5,57,0.298,1,0,0,1600,6,1,5,15,1,22,7,3,0
12,450,-6,1,6,57,0.27,0,0,1,1600,6,1,1,9,4,20,7,4,1
13,492,4,0,6,55,0.214,0,1,0,1600,7,1,6,3,2,24,3,6,5
14,524,-14,1,5,57,0.556,1,0,0,1600,7,1,1,5,7,13,6,2,1
15,518,0,0,8,57,0.548,1,0,0,1600,8,1,7,6,3,32,9,9,5
16,536,4,0,4,57,0.424,1,0,0,1600,8,1,2,2,12,12,4,3,1
1,490,-14,0,5,57,0.198,1,0,0,1200,1,1,2,7,14,20,6,6,0
2,448,2,0,4,55,0.254,0,1,0,1200,1,1,10,6,7,11,4,1,0
3,502,-8,0,7,57,0.22,0,0,1,1200,2,1,5,3,5,18,3,1,6
4,510,-8,0,10,57,0.226,1,0,0,1200,2,1,11,2,7,54,8,13,6
5,508,-2,0,6,57,0.17,1,0,0,1200,3,1,10,8,12,33,7,5,5
6,472,-6,0,7,57,0.531,1,0,0,1200,3,1,3,8,1,25,10,2,4
7,522,-4,1,5,55,0.236,0,1,0,1200,4,1,2,5,1,24,6,8,3
8,500,8,1,6,55,0.298,0,1,0,1200,4,1,5,6,3,25,3,6,5
9,480,-8,1,5,57,0.436,1,0,0,1200,5,1,1,12,1,23,7,2,2
10,462,-8,0,5,55,0.227,0,1,0,1200,5,1,1,16,15,19,7,4,1
11,442,-2,0,8,57,0.382,1,0,0,1200,6,1,2,8,3,24,7,7,2
12,476,2,0,7,57,0.182,1,0,0,1200,6,1,4,1,4,38,8,9,1
13,480,6,0,4,55,0.276,0,1,0,1200,7,1,6,7,4,13,3,2,1
14,472,-8,0,8,57,0.115,1,0,0,1200,7,1,13,18,13,40,5,4,4
15,484,-10,0,4,55,0.381,0,1,0,1200,7,1,12,14,12,10,4,0,0
16,530,-6,0,6,57,0.307,1,0,0,1200,8,1,18,1,1,8,4,0,0
17,504,0,0,5,57,0.221,1,0,0,1200,8,1,1,8,8,24,6,6,1
18,444,8,0,7,57,0.181,1,0,0,1200,8,1,8,1,2,41,8,6,3
1,474,-10,0,4,57,0.276,1,0,0,2000,1,1,2,6,1,8,3,1,1
2,508,2,0,5,57,0.424,1,0,0,2000,1,1,3,15,4,13,7,1,3
3,518,-4,0,6,57,0.277,1,0,0,2000,2,1,4,4,10,29,7,1,4
4,470,-4,0,6,57,0.236,1,0,0,2000,2,1,3,1,3,23,7,5,6
5,482,0,1,4,57,0.381,1,0,0,2000,3,1,5,1,5,10,4,2,1
6,474,-2,0,8,55,0.263,0,1,0,2000,3,1,5,6,1,29,9,5,2
7,472,-18,0,7,57,0.254,1,0,0,2000,4,1,11,2,7,22,9,3,2
8,516,-6,1,4,57,0.436,1,0,0,2000,4,1,2,7,2,9,4,2,0
9,532,0,0,4,57,0.338,0,0,1,2000,5,1,1,1,1,12,5,3,0
10,510,0,0,8,57,0.214,1,0,0,2000,5,1,2,16,6,34,6,6,5
11,468,-6,0,4,57,0.188,1,0,0,2000,6,1,1,2,1,12,5,2,0
12,540,-4,0,6,57,0.155,1,0,0,2000,6,1,6,15,3,33,5,6,3
13,478,12,0,6,57,0.307,1,0,0,2000,7,1,5,9,7,26,5,2,1
14,482,8,0,4,57,0.319,1,0,0,2000,7,1,1,1,5,12,3,1,3
15,516,-4,1,4,57,0.531,1,0,0,2000,8,1,1,4,1,9,4,3,0
16,470,-12,0,5,57,0.227,1,0,0,2000,8,1,8,1,12,16,6,1,5
1,488,-6,1,3,55,0.267,0,1,0,1600,1,1,1,1,1,4,4,0,0
3,440,-2,0,3,55,0.307,0,1,0,1600,2,1,1,2,1,5,2,1,1
4,422,-4,0,3,55,0.208,0,1,0,1600,2,1,2,1,1,3,2,1,0
5,466,4,0,3,55,0.227,0,1,0,1600,3,1,1,2,4,4,2,1,0
6,436,-6,0,3,55,0.298,0,1,0,1600,3,1,7,2,2,6,1,3,0
7,456,0,0,3,55,0.317,0,1,0,1600,4,1,2,4,6,5,1,1,0
8,450,-6,0,3,55,0.226,0,1,0,1600,4,1,1,1,1,7,3,1,2
9,498,0,1,3,55,0.436,0,1,0,1600,5,1,3,2,1,4,2,1,1
10,450,0,0,3,55,0.232,0,1,0,1600,5,1,4,1,1,5,3,1,0
11,462,-8,0,3,55,0.276,0,1,0,1600,6,1,16,15,13,7,1,2,1
12,408,-2,0,3,55,0.277,0,1,0,1600,6,1,3,1,4,4,2,0,1
13,462,-2,1,3,55,0.548,0,1,0,1600,7,1,1,1,2,3,2,1,0
14,472,-2,0,3,55,0.531,0,1,0,1600,7,1,2,1,1,4,2,1,3
15,478,-4,0,3,55,0.424,0,1,0,1600,7,1,1,1,2,3,2,1,0
16,420,-6,0,3,55,0.381,0,1,0,1600,8,1,2,1,0,2,1,1,0
17,440,2,0,3,55,0.382,0,1,0,1600,8,1,2,5,3,5,2,1,1
18,522,-10,0,3,55,0.227,0,1,0,1600,8,1,12,2,1,3,1,1,0
1,454,-4,0,3,57,0.238,1,0,0,2000,1,2,5,1,2,6,3,2,0
2,452,2,0,3,57,0.381,1,0,0,2000,1,2,2,1,1,4,3,1,0
3,492,8,0,3,57,0.382,1,0,0,2000,2,2,3,2,1,4,2,1,1
